Inmueble,Latitud,Longitud,Estado,Superficie Util,Superficie Construida,SuperficieTerreno,Zona,Precio
Local Comercial,19.73386581511140%2C,-101.2079859,Nuevo,42,,42,- - -,292320
Terreno,19.67150401295810%2C,-101.2387455,No Aplicable,175,,- - -,- - -,350
Local Comercial,19.67386750000000%2C,-101.1865127,Nuevo,32,,32,- - -,5
Terreno,19.63446330880630%2C,-101.2447643,No Aplicable,---,- - -,,- - -,630
Terreno,19.71693942414380%2C,-101.0963631,No Aplicable,171,,- - -,- - -,450
Casa,19.69623440000000%2C,-101.1514727,Usado,---,- - -,,- - -,9
Casa,19.69751780000000%2C,-101.1836807,Usado,720,,720,- - -,8
Casa,19.16861100000000%2C,-101.899722,Nuevo,225,,225,Altozano,2600
Terreno,19.69043531791170%2C,-101.1559296,No Aplicable,500,,- - -,- - -,3500
Local Comercial,19.65940054468100%2C,-101.1693192,Usado,750,,620,Altozano,5800
Casa,19.67198296710990%2C,-101.2265902,Nuevo,118,,118,- - -,1100
Terreno,19.60531230000000%2C,-101.2881982,No Aplicable,1.25 ha,- - -,,- - -,500
Terreno,19.70595642014210%2C,-101.1114054,No Aplicable,8669.01,- - -,,Tres Marias,8
Terreno,19.7059504000%2C,-101.1949825,Nuevo,4284,- - -,,- - -,2
Casa comercial,19.68502450000000%2C,-101.2190863,Nuevo,150,,150,- - -,2300
Casa,19.67486081204520%2C,-101.1726885,Usado,220,,220,Altozano,2800
Casa,19.66645580000000%2C,-101.2052766,Usado,210,,210,- - -,2600
Casa,19.67386750000000%2C,-101.1865127,Usado,250,,250,- - -,2700
Casa,19.67167890000000%2C,-101.2038604,Usado,200,,200,- - -,1900
Casa,19.76547037077020%2C,-101.2036195,Usado,---,- - -,,- - -,450
Casa,19.67794939357030%2C,-101.2242508,Usado,400,,400,- - -,2800
Casa,19.69120302906280%2C,-101.2364602,Usado,70,,70,- - -,630
Casa,19.70820486643060%2C,-101.1874809,Usado,249.6,,249.6,- - -,2700
Terreno,19.68756600000000%2C,-101.136967,Nuevo,1500,- - -,,- - -,9
Casa,19.67255376090930%2C,-101.2281351,Nuevo,122,,122,- - -,1100
Casa,19.74665604962070%2C,-101.1684449,Usado,96,,96,- - -,800
Casa,19.65830729874090%2C,-101.1728063,En construccion,150,,150,Altozano,1780
Terreno,19.67150401295810%2C,-101.2387455,No Aplicable,175,,- - -,- - -,350
Terreno,19.67450768574750%2C,-101.1721196,No Aplicable,1344,- - -,,Altozano,13440
Casa,19.77155000000000%2C,-101.127311,Usado,154,,154,- - -,600
Casa,19.65243544321700%2C,-101.1716585,Nuevo,175,,175,Altozano,2150
Terreno,19.65150740000000%2C,-101.4095754,No Aplicable,1425,- - -,,- - -,2500
Casa,19.76557272113640%2C,-101.1145592,Nuevo,70,,70,- - -,450
Casa,19.65344000000000%2C,-101.25202,Usado,210,,210,- - -,1800
Departamento,19.39336512517450%2C,-102.0600835,Nuevo,117.9,,117.9,- - -,1750
Bodega,19.66179350000000%2C,-101.1948321,Usado,169.21,,169.21,- - -,1275
Casa,19.68801100000000%2C,-101.332232,Usado,95.89,,95.89,- - -,750
Casa,19.67732070000000%2C,-101.3062382,Usado,52,,52,- - -,310
Terreno,19.39336512517450%2C,-102.0600835,No Aplicable,108,,- - -,- - -,540
Terreno,19.67490490662130%2C,-101.1730318,No Aplicable,1290,- - -,,Altozano,5160
Casa,19.69366960000000%2C,-101.1631513,Usado,132,,246,- - -,2600
Terreno,19.67036430000000%2C,-101.2259896,No Aplicable,160,,- - -,- - -,1120
Casa,19.71120690000000%2C,-101.1525343,Usado,325,,325,- - -,1600
Casa,19.65265818611880%2C,-101.1677103,Usado,175,,175,Altozano,2400
Casa,19.69770822314680%2C,-101.1034012,Nuevo,432,,1980,- - -,7933
Casa Antigua,19.70143677817380%2C,-101.1930004,Remodelado,200,,200,- - -,3900
Casa,19.78128100000000%2C,-101.1284445,Usado,75,,75,- - -,525
Departamento,19.73444000000000%2C,-101.22481,Nuevo,55,,55,Por el Estadio,439
Casa,19.67036430000000%2C,-101.2259896,Usado,165,,165,- - -,2410
Casa,19.65067093210990%2C,-101.1708641,Usado,870,,870,Altozano,8800
Terreno,19.60531230000000%2C,-101.2881982,No Aplicable,---,200,,SANTIAGO UNDAMEO,150
Penthouse,19.39336512517450%2C,-102.0600835,Nuevo,188.8,,188.8,- - -,2900
Casa,19.65259940180680%2C,-101.1659937,Usado,150,,150,Altozano,2700
Departamento,19.68696912190400%2C,-101.1626385,Usado,60,,60,- - -,1
